x,y,strain_value
-122.80388471177946,-518.05,-5.503974073497271e-05
-120.2976190476191,-518.05,-5.6828225301369004e-05
-117.79135338345867,-518.05,-5.495588199091665e-05
-115.28508771929825,-518.05,-5.3083538680464316e-05
-112.77882205513788,-518.05,-5.274846655101399e-05
-110.27255639097746,-518.05,-5.551399222731502e-05
-107.76629072681709,-518.05,-5.827951790361599e-05
-105.26002506265667,-518.05,-6.264664190003608e-05
-102.75375939849624,-518.05,-6.633044735644572e-05
-100.24749373433588,-518.05,-7.019973113472015e-05
-97.74122807017545,-518.05,-7.269354883106214e-05
-95.23496240601509,-518.05,-7.333563266145257e-05
-92.72869674185466,-518.05,-7.397771649184303e-05
-90.22243107769424,-518.05,-7.448024910025979e-05
-87.71616541353387,-518.05,-7.474017727662988e-05
-85.20989974937345,-518.05,-7.500010545299996e-05
-82.70363408521308,-518.05,-7.526003362937003e-05
-80.19736842105266,-518.05,-7.558707816542421e-05
-77.69110275689223,-518.05,-7.243015757936093e-05
-75.18483709273187,-518.05,-7.033526412230572e-05
-72.67857142857144,-518.05,-7.21638928521491e-05
-70.17230576441108,-518.05,-7.424621908500274e-05
-67.66604010025065,-518.05,-7.614606492276619e-05
-65.15977443609023,-518.05,-7.853406591111205e-05
-62.653508771929864,-518.05,-8.092206689945787e-05
-60.14724310776944,-518.05,-8.255989657375698e-05
-57.640977443609074,-518.05,-8.304270262400983e-05
-55.13471177944865,-518.05,-8.343819256004116e-05
-52.62844611528823,-518.05,-8.360949403059216e-05
-50.12218045112786,-518.05,-8.324412649559794e-05
-47.61591478696744,-518.05,-8.131720653542561e-05
-45.10964912280707,-518.05,-7.939028657525331e-05
-42.60338345864665,-518.05,-7.773275169434771e-05
-40.09711779448622,-518.05,-7.659137422234431e-05
-37.59085213032586,-518.05,-7.544999675034093e-05
-35.08458646616543,-518.05,-7.430861927833752e-05
-32.57832080200507,-518.05,-7.354931012515491e-05
-30.072055137844643,-518.05,-7.281034780551901e-05
-27.56578947368422,-518.05,-7.207138548588306e-05
-25.059523809523853,-518.05,-6.592103990852858e-05
-22.55325814536343,-518.05,-5.850842599239863e-05
-20.046992481203006,-518.05,-5.115035844871418e-05
-17.54072681704264,-518.05,-4.5014645158698925e-05
-15.034461152882216,-518.05,-3.8725118804966434e-05
-12.528195488721849,-518.05,-3.243559245123407e-05
-10.021929824561425,-518.05,-3.164252649540726e-05
-7.515664160401002,-518.05,-3.190063047369173e-05
-5.009398496240635,-518.05,-3.2063818941075545e-05
-2.5031328320802118,-518.05,-2.6935902334091075e-05
0.0031328320801549125,-518.05,-2.1803131541268554e-05
2.5093984962405784,-518.05,-1.3916910172836478e-05
5.015664160401002,-518.05,-5.249777066309191e-06
7.521929824561369,-518.05,5.479853993845408e-07
10.028195488721792,-518.05,6.3085251413322235e-06
12.534461152882159,-518.05,1.2069064883279777e-05
15.040726817042582,-518.05,1.6074764439719935e-05
17.546992481203006,-518.05,1.99426777281116e-05
20.05325814536343,-518.05,2.3810591016503262e-05
22.55952380952374,-518.05,2.8236243084737783e-05
25.065789473684163,-518.05,3.314918271851994e-05
27.572055137844586,-518.05,3.806212235230208e-05
30.07832080200501,-518.05,4.2017099988408776e-05
32.58458646616543,-518.05,4.52957744241486e-05
35.09085213032574,-518.05,4.6752258443095235e-05
37.59711779448617,-518.05,4.5663279763773725e-05
40.10338345864659,-518.05,4.727426578576509e-05
42.609649122807014,-518.05,5.037158471507211e-05
45.11591478696744,-518.05,5.346890364437913e-05
47.62218045112775,-518.05,5.631903801997045e-05
50.12844611528817,-518.05,5.889897487312264e-05
52.634711779448594,-518.05,6.147891172627484e-05
55.14097744360902,-518.05,6.367431665217922e-05
57.64724310776944,-518.05,6.169114130197106e-05
60.15350877192975,-518.05,5.970796595176297e-05
62.659774436090174,-518.05,5.77247906015548e-05
65.1660401002506,-518.05,5.5972940216451284e-05
67.67230576441102,-518.05,5.61952519027189e-05
70.17857142857144,-518.05,5.640622143419722e-05
72.68483709273175,-518.05,5.938908213959679e-05
75.19110275689218,-518.05,6.296203340484626e-05
77.6973684210526,-518.05,6.62642311608853e-05
80.20363408521303,-518.05,6.0242706491962294e-05
82.70989974937345,-518.05,5.405542455335909e-05
85.21616541353376,-518.05,4.833444424156997e-05
87.72243107769418,-518.05,4.5104258189584364e-05
