x,y,strain_value
107.77255639097746,-518.05,1.9392438131420274e-05
110.27882205513777,-518.05,1.4858548466787082e-05
112.78508771929819,-518.05,2.380753522820812e-05
115.29135338345861,-518.05,3.944130946136858e-05
117.79761904761904,-518.05,5.50750836945289e-05
120.30388471177946,-518.05,7.026068635360747e-05
122.81015037593977,-518.05,5.27950566933654e-05
125.3164160401002,-518.05,2.623793439534576e-05
127.82268170426062,-518.05,1.5694783791270703e-05
130.32894736842104,-518.05,2.185336061157272e-05
132.83521303258146,-518.05,2.8178215127794448e-05
135.34147869674177,-518.05,2.55678830891812e-05
137.8477443609022,-518.05,1.3085160419066122e-05
140.35401002506262,-518.05,6.024377489509969e-07
142.86027568922304,-518.05,6.039348272726344e-06
145.36654135338347,-518.05,1.8763931492104628e-05
147.87280701754378,-518.05,2.6300715416311647e-05
150.3790726817042,-518.05,3.297674659367799e-05
152.88533834586462,-518.05,3.313047620415558e-05
155.39160401002505,-518.05,3.346628259325322e-05
157.89786967418547,-518.05,3.69933133815538e-05
160.40413533834578,-518.05,3.90753857524009e-05
162.9104010025062,-518.05,3.539002750174308e-05
165.41666666666663,-518.05,3.170466925108561e-05
167.92293233082705,-518.05,3.07168414811347e-05
170.42919799498748,-518.05,3.7701714909719684e-05
172.93546365914779,-518.05,4.4686588338304296e-05
175.4417293233082,-518.05,4.7478465178928595e-05
177.94799498746863,-518.05,4.072814977543853e-05
180.45426065162906,-518.05,3.455238151386151e-05
182.96052631578948,-518.05,3.139464014980818e-05
185.4667919799498,-518.05,3.484762918606177e-05
187.9730576441102,-518.05,5.7993966735236254e-05
190.47932330827064,-518.05,3.388649641217689e-05
192.98558897243106,-518.05,2.3736877106145782e-06
195.49185463659148,-518.05,1.4738307271474826e-06
197.9981203007518,-518.05,1.0729057597558567e-05
200.50438596491222,-518.05,1.9984284467970176e-05
203.01065162907264,-518.05,1.8683523953875882e-05
205.51691729323306,-518.05,1.4799130163844982e-05
208.0231829573935,-518.05,1.0914736373813943e-05
210.5294486215538,-518.05,7.0872715838234785e-06
213.03571428571422,-518.05,2.504154402501123e-05
215.54197994987464,-518.05,4.590841883778725e-05
218.04824561403507,-518.05,4.881862077967989e-05
220.5545112781955,-518.05,3.9309395350436985e-05
