X,Y,displacement_x,displacement_y,displacement_z
-50.12218045112786,-518.05,-2.1181643379701942e-17,-8.374223480392534e-17,-1.2341151093898939e-17
-47.61591478696744,-518.05,-1.3358081335254894e-17,-5.3050883568816765e-17,-1.0580392283130914e-17
-45.10964912280707,-518.05,-5.695720746279804e-18,-2.275288917610729e-17,-5.7308743752156896e-18
-42.60338345864665,-518.05,-1.0440426769873854e-17,-4.807963762494026e-17,1.252297368473846e-18
-40.09711779448622,-518.05,-1.564347336988415e-17,-6.898716736958893e-17,3.470840476521891e-18
-37.59085213032586,-518.05,-2.076430557748526e-17,-8.810536203402585e-17,5.392300120733695e-18
-35.08458646616543,-518.05,-2.655414168905637e-17,-1.0835445101913968e-16,8.111102132543105e-18
-32.57832080200507,-518.05,-5.673000060290978e-18,-2.6861941145616707e-17,3.925571054801302e-18
-30.072055137844643,-518.05,-3.1602759346747873e-18,-1.553322730127884e-17,2.6345014241288586e-18
-27.56578947368422,-518.05,-8.17682088215431e-19,-4.151292680058472e-18,1.1359859826912536e-18
-25.059523809523853,-518.05,-5.625008960636059e-18,-3.492879598556459e-17,-3.736240623880015e-18
-22.55325814536343,-518.05,-9.79330531758638e-18,-5.5506174468486223e-17,-2.3084434991712594e-17
-20.046992481203006,-518.05,-1.7475183139044903e-18,-1.2515156710295332e-17,-7.877209284752731e-18
-17.54072681704264,-518.05,-1.7516851657236633e-18,-1.2547490519036067e-17,-8.209822500062144e-18
-15.034461152882216,-518.05,-1.1328217954972617e-18,-7.725241077245691e-18,-6.311652693143652e-18
-12.528195488721849,-518.05,-5.63331962639563e-19,-3.3961462853790686e-18,-3.89732172587178e-18
-10.021929824561425,-518.05,-8.749088644424333e-18,-7.755847451749877e-17,-7.200592802916111e-17
-7.515664160401002,-518.05,-5.645267901375674e-18,-5.551843606542043e-17,-5.290898152040249e-17
-5.009398496240635,-518.05,-1.5897159117415114e-19,-1.475629668196484e-18,-3.0489138615703526e-18
-2.5031328320802118,-518.05,-2.2283741042425148e-18,-5.0292865310512306e-17,-2.5893673786121896e-17
0.0031328320801549125,-518.05,-2.4832776444865105e-19,-7.56058131471095e-18,-3.787360027127493e-18
2.5093984962405784,-518.05,-8.370998628600589e-19,-4.625508370573653e-17,-2.2433149303832212e-17
5.015664160401002,-518.05,-1.8063416101366548e-21,-1.8082641557410553e-19,-6.823494826277325e-20
7.521929824561369,-518.05,-3.4078342704390026e-20,-5.350268314277339e-18,-3.0401441841778806e-18
10.028195488721792,-518.05,3.52747821720454e-20,-3.274670036970117e-18,-1.9714045209489855e-18
12.534461152882159,-518.05,1.761606251977917e-20,-7.128070429397879e-19,-6.463961444145327e-19
15.040726817042582,-518.05,3.620426615537069e-18,-7.656744051913708e-17,-3.8595872004424044e-17
17.546992481203006,-518.05,2.181313425087465e-18,-4.545440727555022e-17,-2.250266601041386e-17
20.05325814536343,-518.05,7.187574985371669e-19,-1.4818122101807675e-17,-6.964884741427832e-18
22.55952380952374,-518.05,1.2348164063235353e-19,-1.107166401103775e-18,9.13055724387937e-19
25.065789473684163,-518.05,2.0764077917861247e-19,-1.8923614101648036e-18,3.0657270048231316e-19
27.572055137844586,-518.05,2.743026320139778e-19,-2.2006326392677575e-18,-5.421559380721146e-20
30.07832080200501,-518.05,1.954576611846978e-18,-1.4103150000292363e-17,-5.6799229534153134e-18
32.58458646616543,-518.05,5.3395546508458486e-18,-3.6038614797213393e-17,-1.3915526691380897e-17
35.09085213032574,-518.05,6.807548043827338e-18,-4.114192564056336e-17,-1.2996580888603398e-17
37.59711779448617,-518.05,2.4745119243349454e-18,-1.5005361307541782e-17,-4.502957410213369e-18
40.10338345864659,-518.05,1.3429749409892443e-17,-8.056765744099684e-17,-2.2432029332279678e-17
42.609649122807014,-518.05,8.588249995420601e-18,-5.0176337677307147e-17,-1.3491654432301945e-17
45.11591478696744,-518.05,3.3542386970901733e-18,-1.914055409400017e-17,-4.914138365884141e-18
